filename,genre
102257.jpg,abstract
75232.jpg,abstract
62252.jpg,abstract
63861.jpg,abstract
70944.jpg,landscape
59792.jpg,religious painting
48138.jpg,landscape
82352.jpg,religious painting
59145.jpg,abstract
16876.jpg,religious painting
28908.jpg,genre painting
48177.jpg,still life
7486.jpg,religious painting
35766.jpg,religious painting
28363.jpg,still life
71435.jpg,cityscape
63416.jpg,cityscape
1164.jpg,landscape
4147.jpg,cityscape
57581.jpg,religious painting
19385.jpg,cityscape
99733.jpg,illustration
73690.jpg,illustration
93715.jpg,illustration
47170.jpg,illustration
47203.jpg,religious painting
73319.jpg,abstract
75586.jpg,abstract
49350.jpg,abstract
74221.jpg,cityscape
90044.jpg,genre painting
31337.jpg,genre painting
7071.jpg,genre painting
60585.jpg,cityscape
99460.jpg,portrait
5194.jpg,portrait
17354.jpg,genre painting
55537.jpg,religious painting
840.jpg,portrait
13689.jpg,religious painting
31234.jpg,genre painting
96174.jpg,genre painting
95721.jpg,portrait
57090.jpg,genre painting
820.jpg,portrait
19834.jpg,genre painting
40672.jpg,portrait
45276.jpg,portrait
21113.jpg,illustration
88434.jpg,portrait
80938.jpg,genre painting
32343.jpg,religious painting
70002.jpg,symbolic painting
32829.jpg,genre painting
15569.jpg,illustration
20509.jpg,landscape
1127.jpg,genre painting
71952.jpg,landscape
7020.jpg,cityscape
29461.jpg,genre painting
100829.jpg,portrait
49147.jpg,abstract
92409.jpg,portrait
51728.jpg,landscape
68866.jpg,genre painting
16019.jpg,landscape
79131.jpg,portrait
99839.jpg,symbolic painting
53800.jpg,portrait
11057.jpg,landscape
89941.jpg,landscape
33542.jpg,symbolic painting
96372.jpg,genre painting
66723.jpg,still life
3732.jpg,genre painting
60678.jpg,landscape
10805.jpg,landscape
87438.jpg,landscape
88945.jpg,portrait
98644.jpg,landscape
62387.jpg,genre painting
62037.jpg,abstract
60983.jpg,portrait
80950.jpg,sketch and study
22404.jpg,portrait
9549.jpg,portrait
72442.jpg,landscape
41164.jpg,portrait
101495.jpg,genre painting
53039.jpg,landscape
11837.jpg,landscape
83723.jpg,abstract
89307.jpg,landscape
87495.jpg,portrait
32754.jpg,portrait
